funny;posted;last_edited;item_id;helpful;recommend;review;user_id;user_url;sentiment_numeric
;Posted July 29, 2014.;;202970;0 of 1 people (0%) found this review helpful;True;play it its awesome you cant go against it if you havent played it;fatrangacuntnolifevirgin;http://steamcommunity.com/id/fatrangacuntnolifevirgin;2
1 person found this review funny;Posted January 7, 2014.;;4000;2 of 2 people (100%) found this review helpful;True;IT IS FLORKIN AMAZING!!!!!!!!!!! YOU HAVE TO BUY IT!;BBBirb;http://steamcommunity.com/id/BBBirb;2
1 person found this review funny;Posted March 22.;;440;1 of 1 people (100%) found this review helpful;True;el mejor juego : D;BarretaJrs;http://steamcommunity.com/id/BarretaJrs;2
;Posted August 15, 2014.;;113200;No ratings yet;True;one of the best games I have ever played extreamly replyable 10/10;7,65612E+16;http://steamcommunity.com/profiles/76561198047208452;2
;Posted November 21, 2013.;;440;No ratings yet;True;AWESOME!!;generalale;http://steamcommunity.com/id/generalale;2
;Posted July 17, 2014.;;570;No ratings yet;True;un moba muy bien creado lo recomiendo mucho pero pra los que teingan buenas pc esta muy bueno disfrutenlo :D;Ghoster09;http://steamcommunity.com/id/Ghoster09;2
;Posted May 2, 2014.;;242720;1 of 4 people (25%) found this review helpful;False;The name jfiam5udeh was taken... Best name maker simulator i've ever seen 10/10;bobseagull;http://steamcommunity.com/id/bobseagull;2
;Posted July 17, 2015.;;4000;0 of 1 people (0%) found this review helpful;True;ONE OF THE BEST ♥♥♥♥ING GAMES I HAVE EVER PLAYED;7,65612E+16;http://steamcommunity.com/profiles/76561198105270589;2
;Posted October 14, 2013.;Last edited December 22, 2013.;72850;0 of 1 people (0%) found this review helpful;True;Just amazing!!!!;7,65612E+16;http://steamcommunity.com/profiles/76561198074561346;2
;Posted December 27, 2015.;;237870;0 of 1 people (0%) found this review helpful;True;Mint m8, just ♥♥♥♥ing perfect.;busternut;http://steamcommunity.com/id/busternut;2
;Posted December 24, 2013.;;224540;0 of 2 people (0%) found this review helpful;True;awesome;busternut;http://steamcommunity.com/id/busternut;2
;Posted December 10, 2013.;;24860;1 of 1 people (100%) found this review helpful;True;Best BF. Must Buy.;1122305938;http://steamcommunity.com/id/1122305938;2
;Posted June 16, 2015.;;730;No ratings yet;True;very good;SurfChicken;http://steamcommunity.com/id/SurfChicken;2
;Posted June 21, 2014.;;221100;1 of 1 people (100%) found this review helpful;True;Awesome game...SOMEONE FIX THE F***ING LADDERS!!!!!!!!!!!!!!!8.5/10;7,65612E+16;http://steamcommunity.com/profiles/76561198046958203;2
;Posted February 8, 2014.;;202970;2 of 3 people (67%) found this review helpful;True;its awesome;7,65612E+16;http://steamcommunity.com/profiles/76561198107928649;2
;Posted March 8, 2014.;;67370;No ratings yet;True;Probbably one of the best games i have ever played;7,65612E+16;http://steamcommunity.com/profiles/76561198067214601;2
;Posted November 29, 2013.;;4000;No ratings yet;True;BEST EVER BYE IT OR DIE!!!!!!!!!!!!!!!!!! HAHAHAAHAHHAAHAHAHA;7,65612E+16;http://steamcommunity.com/profiles/76561198101576470;2
;Posted October 23, 2015.;;304930;No ratings yet;True;Very Good;GetMLGRekt;http://steamcommunity.com/id/GetMLGRekt;2
1 person found this review funny;Posted May 28.;;42680;1 of 1 people (100%) found this review helpful;True;One of the best ''Boots on the ground'' call of duties out there.;DerpyAura;http://steamcommunity.com/id/DerpyAura;2
;Posted January 4, 2014.;;49520;No ratings yet;True;This is So Awesome;DerpyAura;http://steamcommunity.com/id/DerpyAura;2
;Posted August 3, 2014.;;570;No ratings yet;True;The Best Speaking to Russians simulator ever10/10;7,65612E+16;http://steamcommunity.com/profiles/76561198066881691;2
;Posted May 27, 2015.;;21690;2 of 2 people (100%) found this review helpful;True;Agora que retiraram a WFGL e colocaram as dlcs e outras pequenas coisas vale a pena jogar :D então compre sim;digfernandes;http://steamcommunity.com/id/digfernandes;2
;Posted August 24, 2015.;;35450;No ratings yet;True;Anti tank rifle is best sniper;compuguy123;http://steamcommunity.com/id/compuguy123;2
;Posted March 8, 2015.;;1250;No ratings yet;True;One of the best Zombie horror survival games ive ever played!;7,65612E+16;http://steamcommunity.com/profiles/76561198065247694;2
;Posted January 14, 2015.;;730;No ratings yet;True;Very good. I r8 8/8 m8.;izumireina;http://steamcommunity.com/id/izumireina;2
;Posted April 22, 2011.;;620;No ratings yet;True;♥♥♥♥ing. awesome.;FunkMeister1;http://steamcommunity.com/id/FunkMeister1;2
;Posted December 12, 2010.;;13570;No ratings yet;True;awesome and stealthy;FunkMeister1;http://steamcommunity.com/id/FunkMeister1;2
;Posted March 23, 2013.;;10090;No ratings yet;True;Custom zombies is awesome on this!;gatorgolfing;http://steamcommunity.com/id/gatorgolfing;2
;Posted January 29, 2014.;;730;No ratings yet;True;muy bueno el cs:go :D;GiBaPEzLife;http://steamcommunity.com/id/GiBaPEzLife;2
1 person found this review funny;Posted July 27, 2014.;;301520;No ratings yet;True;build ships and battle, this has got to be one of the best ftp games on steam;Fishisaurus;http://steamcommunity.com/id/Fishisaurus;2
;Posted June 27, 2014.;;40400;0 of 1 people (0%) found this review helpful;True;WORTH BUYING!!!!!!!!!!!!!;hand0fcthulhu;http://steamcommunity.com/id/hand0fcthulhu;2
2 people found this review funny;Posted February 9, 2015.;;332800;1 of 3 people (33%) found this review helpful;True;#�NOMBRE?;7,65612E+16;http://steamcommunity.com/profiles/76561198121314683;2
;Posted February 11, 2014.;;236390;1 of 2 people (50%) found this review helpful;True;Yess I recommend you to get his game.It is awesome;7,65612E+16;http://steamcommunity.com/profiles/76561198066734993;2
;Posted July 15.;;330350;0 of 3 people (0%) found this review helpful;True;:D;Nzatz;http://steamcommunity.com/id/Nzatz;2
;Posted December 28, 2015.;;359320;4 of 5 people (80%) found this review helpful;False;♥♥♥♥♥ charged me 80 now its 15 dollars, got boring after about 5 hours.;7,65612E+16;http://steamcommunity.com/profiles/76561198066046412;0
;Posted July 31.;;400800;1 of 2 people (50%) found this review helpful;False;♥♥♥♥ as ♥♥♥♥ very bad mechanics;7,65612E+16;http://steamcommunity.com/profiles/76561198074935997;0
;Posted November 18, 2014.;Last edited December 3, 2014.;313740;No ratings yet;False;I caught this on sale for $3 and err.... im stuck with it... Well atleast it has fox people in it. Right??(On a side note, the story and soundtrack is absolutely horrible);7,65612E+16;http://steamcommunity.com/profiles/76561198039441595;0
;Posted May 31, 2014.;;8190;No ratings yet;True;Its like a Michael Bay film. Horrible actors + Loads of explosions. 11/10.;7,65612E+16;http://steamcommunity.com/profiles/76561198039441595;0
;Posted June 1, 2014.;Last edited June 1, 2014.;211820;1 of 3 people (33%) found this review helpful;False;Wanted to like it but i just found it boring;Norf_Norf;http://steamcommunity.com/id/Norf_Norf;0
;Posted December 29, 2013.;Last edited February 5, 2015.;34830;0 of 1 people (0%) found this review helpful;False;very bad;7,65612E+16;http://steamcommunity.com/profiles/76561198061039259;0
;Posted January 24, 2014.;;4000;No ratings yet;True;This is the game that makes me wonder what im doing in life..........10/10!!!!!!!;7,65612E+16;http://steamcommunity.com/profiles/76561198048024738;0
;Posted July 6, 2015.;;223710;No ratings yet;True;GOTY should be mad asap!!!!!!!!!!!;7,65612E+16;http://steamcommunity.com/profiles/76561198038840599;0
1 person found this review funny;Posted September 27, 2015.;;200260;2 of 3 people (67%) found this review helpful;True;I found out who killed Bruce Wayne's parents, it was a man...AND HIS NAME IS JOHN CENA!!!!!!!!!!!!!!!!!!!!!!!!!!!;XavvPlays;http://steamcommunity.com/id/XavvPlays;0
;Posted July 29, 2015.;;304240;2 of 4 people (50%) found this review helpful;True;Resident evil 2 remake... Now.;gatorgolfing;http://steamcommunity.com/id/gatorgolfing;0
;Posted November 26, 2014.;;305260;No ratings yet;True;boring but a quality time consumer if that makes any sense;sphix;http://steamcommunity.com/id/sphix;0
;Posted October 15, 2014.;;244850;1 of 1 people (100%) found this review helpful;True;This, Game, IS AWSOMEE!!!!!;91221301;http://steamcommunity.com/id/91221301;0
;Posted March 1, 2014.;;247910;No ratings yet;True;well, the music is ♥♥♥♥ing terrifying ♥♥♥♥;gigantowang;http://steamcommunity.com/id/gigantowang;0
;Posted March 31, 2014.;;230980;1 of 5 people (20%) found this review helpful;False;Terrible...;privatechristophe;http://steamcommunity.com/id/privatechristophe;0
;Posted September 19, 2015.;;250260;No ratings yet;True;WTF!?!?! A ROBOT HOOCKER!?!?!;MUSTANGBOI;http://steamcommunity.com/id/MUSTANGBOI;0
;Posted August 24.;;275850;4 of 6 people (67%) found this review helpful;False;Terrible;7,65612E+16;http://steamcommunity.com/profiles/76561198007041072;0
;Posted June 26, 2014.;;207230;No ratings yet;False;very very very very bad;7,65612E+16;http://steamcommunity.com/profiles/76561198084622842;0
;Posted December 27, 2011.;;4000;0 of 1 people (0%) found this review helpful;True;Get this game and spawn 100000 explosive !!!!!!!! with 100000 lags YAY;pf12351;http://steamcommunity.com/id/pf12351;0
;Posted February 12.;Last edited June 17.;730;No ratings yet;False;WTF STEAM GUARD? NOW I CANT EVEN SELL THINGS!!! STUPID STEAM REMOVE THE STEAM GUARD!! ARE YOU TRYING TO MAKE US NOT SELL THINGS?;7,65612E+16;http://steamcommunity.com/profiles/76561198086462653;0
;Posted January 23, 2014.;;212200;2 of 10 people (20%) found this review helpful;False;Worst Game EVER!!!!!!!!!!!!!!!;skylord30;http://steamcommunity.com/id/skylord30;0
;Posted October 7, 2014.;;313740;1 of 2 people (50%) found this review helpful;True;This game was beutiful in the story aswell as the arts and plus Maeko is my waifu so YOU SHALL NOT PASS!!!!!!!;KewlKatzz;http://steamcommunity.com/id/KewlKatzz;0
;Posted January 12, 2015.;;222900;No ratings yet;False;Very very very boring;7,65612E+16;http://steamcommunity.com/profiles/76561198085200257;0
;Posted February 1, 2014.;;570;No ratings yet;True;sick!!;7,65612E+16;http://steamcommunity.com/profiles/76561198038397345;0
2 people found this review funny;Posted May 16.;;227300;2 of 33 people (6%) found this review helpful;False;oh my god, this is SOOO boring, now its in the trash where it belongs.;7,65612E+16;http://steamcommunity.com/profiles/76561198129265482;0
;Posted June 19, 2015.;;233450;No ratings yet;True;This game does get addicting as you play it for hours!!!!!;7,65612E+16;http://steamcommunity.com/profiles/76561198093276380;0
;Posted February 27.;Last edited July 31.;311210;0 of 3 people (0%) found this review helpful;False;terrible;7,65612E+16;http://steamcommunity.com/profiles/76561198029589709;0
;Posted March 30, 2013.;;440;0 of 1 people (0%) found this review helpful;True;This game is awsome !!!!!;YouAreDedNottaBigSoupPrice;http://steamcommunity.com/id/YouAreDedNottaBigSoupPrice;0
;Posted June 22, 2014.;;72850;1 of 1 people (100%) found this review helpful;True;Holy crap!;aceofspadesfg;http://steamcommunity.com/id/aceofspadesfg;0
1 person found this review funny;Posted August 16, 2014.;;218620;4 of 7 people (57%) found this review helpful;False;Its boring as ♥♥♥♥ ♥♥♥♥♥;blackniggers;http://steamcommunity.com/id/blackniggers;0
;Posted June 29, 2014.;;303390;6 of 13 people (46%) found this review helpful;False;No, just don't buy it. You will have a terrible time.;this_is_my_link;http://steamcommunity.com/id/this_is_my_link;0
;Posted January 8, 2015.;;211500;0 of 6 people (0%) found this review helpful;False;cant do anything its really horrible;7,65612E+16;http://steamcommunity.com/profiles/76561198066363324;0
;Posted August 24, 2014.;;319130;3 of 10 people (30%) found this review helpful;False;Boring;7,65612E+16;http://steamcommunity.com/profiles/76561198099851380;0
;Posted July 6, 2012.;;105600;No ratings yet;True;Unicorns are evil;AussieSerpine;http://steamcommunity.com/id/AussieSerpine;0
;Posted July 7, 2014.;;108600;4 of 4 people (100%) found this review helpful;True;It's a bit boring, but then again so is this review so who am i to judge.;7,65612E+16;http://steamcommunity.com/profiles/76561198082591639;0
;Posted August 28.;;275850;0 of 1 people (0%) found this review helpful;False;boring not what was told we would get;7,65612E+16;http://steamcommunity.com/profiles/76561198058495935;0
;Posted June 30, 2012.;;12430;0 of 1 people (0%) found this review helpful;True;HORRIBLE HORRIBLE HORRIBLE;brat81;http://steamcommunity.com/id/brat81;0
;Posted December 29, 2015.;;304930;No ratings yet;False;horrible;byrxn;http://steamcommunity.com/id/byrxn;0
;Posted October 24, 2013.;Last edited December 2, 2013.;10500;0 of 1 people (0%) found this review helpful;True;GRATE GAME!!!!!;Spitfire182GE;http://steamcommunity.com/id/Spitfire182GE;0
;Posted September 6, 2015.;;346110;1 of 2 people (50%) found this review helpful;True;♥♥♥♥ing terrible.;DSvictory;http://steamcommunity.com/id/DSvictory;0
;Posted August 16, 2015.;;383080;0 of 1 people (0%) found this review helpful;False;This is a truly awful idle clicker.;davidmwilliams;http://steamcommunity.com/id/davidmwilliams;0
;Posted May 15.;;273770;4 of 8 people (50%) found this review helpful;False;This May be one of the worst games i have ever played on steam...;deathlord549;http://steamcommunity.com/id/deathlord549;0
;Posted October 17, 2015.;;252950;No ratings yet;True;try not to cry when you hit the crossbar from kickoff :'(;7,65612E+16;http://steamcommunity.com/profiles/76561198069279256;0
;Posted July 26, 2014.;;236790;1 of 1 people (100%) found this review helpful;False;♥♥♥♥ING TERRIBLE;7,65612E+16;http://steamcommunity.com/profiles/76561198068718484;0
;Posted July 12, 2013.;;8190;No ratings yet;True;Absolutely insane;eterna_amn;http://steamcommunity.com/id/eterna_amn;0
;Posted July 14.;;221100;4 of 6 people (67%) found this review helpful;False;The worst;Joshooaa;http://steamcommunity.com/id/Joshooaa;0
;Posted December 29, 2014.;;317470;0 of 1 people (0%) found this review helpful;False;Horrible;7,65612E+16;http://steamcommunity.com/profiles/76561198044127701;0
;Posted December 29, 2013.;;440;No ratings yet;True;You Must play this game -Fun-Challenge-Unstopable to play this game-AddictI recommend you !!!!!;iWooder;http://steamcommunity.com/id/iWooder;0
;Posted December 18, 2013.;;220240;No ratings yet;True;One word Insane;7,65612E+16;http://steamcommunity.com/profiles/76561198090488278;0
;Posted November 11, 2015.;;42000;No ratings yet;False;Intensly boring would not reccomend to anyone ever.;soupstore;http://steamcommunity.com/id/soupstore;0
;Posted June 11, 2014.;;63380;1 of 3 people (33%) found this review helpful;False;literally the worst ♥♥♥♥ i have ever played;Raiseyourdongersss;http://steamcommunity.com/id/Raiseyourdongersss;0
;Posted November 5, 2011.;;1250;No ratings yet;True;"Simple yet with great replayability. In my opinion does ""zombie"" hordes and team work better than left 4 dead plus has a global leveling system. Alot of down to earth ""zombie"" splattering fun for the whole family. Amazed this sort of FPS is so rare.";7,65612E+16;http://steamcommunity.com/profiles/76561197970982479;1
;Posted July 15, 2011.;;22200;No ratings yet;True;It's unique and worth a playthrough.;7,65612E+16;http://steamcommunity.com/profiles/76561197970982479;1
;Posted April 21, 2011.;;43110;No ratings yet;True;Great atmosphere. The gunplay can be a bit chunky at times but at the end of the day this game is definitely worth it and I hope they do a sequel...so buy the game so I get a sequel!;7,65612E+16;http://steamcommunity.com/profiles/76561197970982479;1
;Posted June 24, 2014.;;251610;15 of 20 people (75%) found this review helpful;True;"I know what you think when you see this title ""Barbie Dreamhouse Party"" but do not be intimidated by it's title, this is easily one of my GOTYs. You don't get any of that cliche game mechanics that all the latest games have, this is simply good core gameplay. Yes, you can't 360 noscope your friends, but what you can do is show them up with your bad ♥♥♥ dance moves and put them to shame as you show them what true fashion and color combinations are.I know this game says for kids but, this is easily for any age range and any age will have a blast playing this.8/8";js41637;http://steamcommunity.com/id/js41637;1
;Posted September 8, 2013.;;227300;0 of 1 people (0%) found this review helpful;True;For a simple (it's actually not all that simple but it can be!) truck driving Simulator, it is quite a fun and relaxing game. Playing on simple (or easy?) its just the basic WASD keys for driving but (if you want) the game can be much harder and realistic with having to manually change gears, much harder turning, etc. And reversing in this game is a ♥♥♥♥♥, as I imagine it would be with an actual truck. Luckily, you don't have to reverse park it but you get extra points if you do cause it is bloody hard. But this is suprisingly a nice truck driving game and I had a bit of fun with it.;js41637;http://steamcommunity.com/id/js41637;1
;Posted November 29, 2013.;;239030;1 of 4 people (25%) found this review helpful;True;Very fun little game to play when your bored or as a time passer. Very gud. Do Recommend. pls buy;js41637;http://steamcommunity.com/id/js41637;1
;Posted February 3.;;248820;No ratings yet;True;A suitably punishing roguelike platformer.  Winning feels good.  Progressive unlocks mean a good slog ending in failure doesn't feel like a waste.;evcentric;http://steamcommunity.com/id/evcentric;1
;Posted December 4, 2015.;Last edited December 5, 2015.;370360;No ratings yet;True;"""Run for fun? What the hell kind of fun is that?""";evcentric;http://steamcommunity.com/id/evcentric;1
;Posted November 3, 2014.;;237930;No ratings yet;True;Elegant integration of gameplay, story, world development and aesthetic.;evcentric;http://steamcommunity.com/id/evcentric;1
;Posted October 15, 2014.;;263360;No ratings yet;True;Random drops and random quests, with stat points.  Animation style reminiscent of the era before the Voodoo card.;evcentric;http://steamcommunity.com/id/evcentric;1
;Posted October 15, 2014.;;107200;No ratings yet;True;Fun balance of tactics and strategy.  Potential for very rewarding battles on smaller maps.  Can become a bit of a grind on larger maps (>200 stars).;evcentric;http://steamcommunity.com/id/evcentric;1
;Posted October 15, 2014.;;224500;No ratings yet;True;Fun world builder, with plenty of option of how you want challenge served to you.  Gnome pathing sometimes frustrating if you expand very very quickly.;evcentric;http://steamcommunity.com/id/evcentric;1
;Posted October 14, 2013.;;250320;2 of 2 people (100%) found this review helpful;True;This game... is so fun. The fight sequences have been improved from walking dead. It also includes more of a Sam and Max puzzle solving (some of it in the first episode) and walking dead. The game also gets even more better if you have read the Fables comic books, which are without a doubt, very good. The music is also superb and fit the scenarios very well.;doctr;http://steamcommunity.com/id/doctr;1
;Posted July 28, 2012.;;20920;1 of 1 people (100%) found this review helpful;True;Really Really Really Great Game, very good story, im in chapter 1 atm and i think its great. You get a really early link with characters. No need to play the first game, its nicely wrapped up for you in a five minute video. FYI beware of the sex scenes :P, nudity does happen in the game and it shows you actually having sex, so try not to play with your parents around if your near a point in the story. Also you will need a good rig/comp to play on high. Don't even try running the game on Ultra unless you have mulitiple GPU's (Graphics card) and ram and a good processor. All in all good game :D;doctr;http://steamcommunity.com/id/doctr;1
;Posted June 2, 2012.;;204100;1 of 1 people (100%) found this review helpful;True;Just buy it already. Great Story, Great Multiplayer and good fan service. Just awesome game. Just using shootdodge and bullet time makes you feel like a badass. Also, its better if you get the max payne story recapped or replay the first two but its not necessary.;doctr;http://steamcommunity.com/id/doctr;1
;Posted June 29, 2014.;;224600;1 of 2 people (50%) found this review helpful;True;It was a great game from what I played, right now I need to find the actual download.;doctr;http://steamcommunity.com/id/doctr;1
;Posted November 22, 2012.;;207610;No ratings yet;True;The ending to this game is.... ♥♥♥♥♥♥♥.... Just buy it, you'll be invested, im automatically preordering season two of the walking dead game.;doctr;http://steamcommunity.com/id/doctr;1
;Posted February 23, 2012.;;108710;No ratings yet;True;Alan wake is a really good game, the light effects are pretty awesome and this game is so good, it paid back remedy their promotion and conversion fees in the first two days on steam. Its awesome :D. Remedy can still make video games, even if its not Max Payne. It is also very character driven.;doctr;http://steamcommunity.com/id/doctr;1
3 people found this review funny;Posted April 15, 2014.;;211420;35 of 43 people (81%) found this review helpful;True;Git gud;maplemage;http://steamcommunity.com/id/maplemage;1
1 person found this review funny;Posted December 23, 2013.;;211820;12 of 16 people (75%) found this review helpful;True;It's like Terraria, you play for 9 hours straight, get endgame armour then stop playing until the next update.;maplemage;http://steamcommunity.com/id/maplemage;1
2 people found this review funny;Posted March 14, 2014.;;730;5 of 5 people (100%) found this review helpful;True;Hold shift to win, Hold CTRL to lose.;maplemage;http://steamcommunity.com/id/maplemage;1
;Posted July 11, 2013.;;204300;No ratings yet;True;OH YES, THIS GAME IS THE BEST, THEY ADD STUFF LIKE NEW CHARACTERS, AND LIKE A NEW MAP ONCE A YEAR, IT'S SO AWESOME, OH YES, IT'S SO AWESOMENAUTS, YES, YES, I'M GOOD AT THIS, YES, YES, GOOD, I'M GOOD, YES, GOOD, YOU ARE BAD, IM GOOD, YES, TOO GOOD, YES, IM NOT BAD, YES, GOOD.;maplemage;http://steamcommunity.com/id/maplemage;1
;Posted May 5, 2014.;;249130;7 of 8 people (88%) found this review helpful;True;This game is Marvellous.;Wackky;http://steamcommunity.com/id/Wackky;1
;Posted December 24, 2012.;Last edited November 25, 2013.;207610;1 of 1 people (100%) found this review helpful;True;"It reminds me of that TV Show called ""The Walking Dead"".";Wackky;http://steamcommunity.com/id/Wackky;1
1 person found this review funny;Posted October 21, 2012.;Last edited November 25, 2013.;550;1 of 1 people (100%) found this review helpful;True;This game is fantastic if you are looking to DEADicate some time to it.;Wackky;http://steamcommunity.com/id/Wackky;1
;Posted March 20, 2012.;Last edited June 22, 2014.;65800;1 of 1 people (100%) found this review helpful;True;If you like defending dungeons then I suppose this game would suit your needs.;Wackky;http://steamcommunity.com/id/Wackky;1
;Posted March 9, 2012.;Last edited November 25, 2013.;220;No ratings yet;True;You don't have to get this game. It's not like it's the greatest FPS of all time or anything. But have a think about it.;Wackky;http://steamcommunity.com/id/Wackky;1
1 person found this review funny;Posted May 20.;;730;0 of 1 people (0%) found this review helpful;True;ZIKA DO BAILE;7,65612E+16;http://steamcommunity.com/profiles/76561198079601835;1
;Posted July 24.;;730;No ratings yet;True;BEST GAME IN THE BLOODY WORLD;MeaTCompany;http://steamcommunity.com/id/MeaTCompany;1
5 people found this review funny;Posted February 1, 2015.;;72850;3 of 3 people (100%) found this review helpful;True;Killed the Emperor, nobody cared and got away with it. Accidentally killed a chicken and everybody decided to gang up on me. 10/10;7,65612E+16;http://steamcommunity.com/profiles/76561198089393905;1
1 person found this review funny;Posted June 20, 2014.;;440;3 of 3 people (100%) found this review helpful;True;10/10 would eat your money for hats and keys;7,65612E+16;http://steamcommunity.com/profiles/76561198089393905;1
;Posted June 16.;;252950;0 of 1 people (0%) found this review helpful;True;love it;7,65612E+16;http://steamcommunity.com/profiles/76561198156664158;1
;Posted June 11.;;440;No ratings yet;True;mt bom;7,65612E+16;http://steamcommunity.com/profiles/76561198077246154;1
;Posted August 25, 2014.;Last edited July 30, 2015.;304930;No ratings yet;True;É muito bom;7,65612E+16;http://steamcommunity.com/profiles/76561198077246154;1
;Posted December 25, 2013.;;4000;0 of 1 people (0%) found this review helpful;True;es la rajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa;WeiEDKrSat;http://steamcommunity.com/id/WeiEDKrSat;1
;Posted June 23, 2012.;;42910;0 of 2 people (0%) found this review helpful;True;MAGICKA *SNORT* *SNORT*;thequeenpanda;http://steamcommunity.com/id/thequeenpanda;1
;Posted September 5, 2015.;;232090;0 of 1 people (0%) found this review helpful;True;"Amazing, Non-stop action of blowing stuff to bits, Decapitation and shooting everything you see. With a combination of action, thriller and emmersive gameplay, as well as enviromental challanges (Jump physics). This game will really put your eyes to the test, can you see the enemys before they see you? Cause their are so many!This is the second level of the killing floor, I quote bill LF4D ""Son we just crossed the street"" But in reality they only moved up an elevator level on genes. What has yet to come as the game is slowly realsed with thrilling and horryfing creations, But who really cares, Let's just blow it up, I invite you to get on the GODAMN KILLING FLOOR, LET'S SHOOT ♥♥♥♥♥ES AND GET PAID! RAHHHHHHHHHHH!";death-hunter;http://steamcommunity.com/id/death-hunter;1
;Posted March 30, 2015.;;1250;No ratings yet;True;Amazing, Non-stop action of blowing stuff to bits, Decapitation and shooting everything you see. With a combination of action, thriller and emmersive gameplay, as well as enviromental challanges (Jump physics). This game will really put your eyes to the test, can you see the enemys before they see you? Cause their are so many!;death-hunter;http://steamcommunity.com/id/death-hunter;1
;Posted February 19, 2014.;;4000;No ratings yet;True;Amazaing great, Creative and build All I'm going to say.;death-hunter;http://steamcommunity.com/id/death-hunter;1
;Posted July 14, 2014.;;304930;2 of 4 people (50%) found this review helpful;True;"At first, it looked to me that...""Wow, just another plain game... Minecraft Style I guess...""However, after playing it for almost 2 hours, I've realised that this game...Is nothing like Minecraft in terms on gaming content/adventure.If you've ever wished to get DayZ and want to get a first-hand experience of it, this game will be a great start!I do recommend that you guys play with a friend, and not Single Player (Just yet...)My feeling about this game is that it will become a game that requires intense TeamWork, Co-ordination and communication (Recommend: Use Voice Chat in Steam for the meantime).So for those who feel this game isn't worth playing because it looks boring, please think twice...I would have regretted my choice if I didn't choose to play this game for a while.";DJKamBer;http://steamcommunity.com/id/DJKamBer;1
;Posted April 27, 2013.;;570;0 of 1 people (0%) found this review helpful;True;Awesome graphics, texture. Reqiures HARDCORE teamwork and Co-Ordination, but all good fun! Go get it now. You won't regret it!;DJKamBer;http://steamcommunity.com/id/DJKamBer;1
1 person found this review funny;Posted July 20, 2015.;;218620;2 of 6 people (33%) found this review helpful;True;Upside to PAYDAY 2:+ Updates are released every few weeks or maximum 1 month (Some are free, which is a good thing)+ Gets you feeling acomplished by getting free items after every mission+ Able to retry missions that are of different difficulties (Adds challenge to your gameplay)+ Side Jobs (Everyday and every week) to complete, which gives you free items that you would like to haveDownside to PAYDAY 2:- Game sustainability is low (It's a repetitive gameplay;;;
;Posted November 4, 2013.;;224260;No ratings yet;True;"Awesome game! It's like L4D2 and Killing Floor, but much more realistic! This game REALLY needs hardcore teamwork, to win Objective Mode and Survival Mode, but other than that, it's really fun and ""Horrific!""";DJKamBer;http://steamcommunity.com/id/DJKamBer;1
